ICMMID,Confidence_Factor,Mine_Name,Group Names,Latitude,Longitude,Asset_Type,Country,Primary_Commodity,Secondary_Commodity,Other_Commodities
ICMM00683,High,Ticlio,Volcan Mines Zinc 25;Casapalca;Ticlio,-11.59838487,-76.21017185,Mine,Peru,zinc,lead,copper;silver
ICMM00685,Very Low,"Tacsacocha, Mina",,-11.5993,-76.3306,Mine,Peru,lead,,
ICMM00686,High,Toromocho,Anticona Y Condenado;Morococha;Morococha;Toromocho;Toromocho,-11.60393996,-76.14208568,Mine,Peru,copper,molybdenum,lead;gold;silver;zinc
ICMM00690,Very Low,"Americana, Mina",,-11.6429,-76.2619,Mine,Peru,silver,,
ICMM00692,High,Yauliyacu,"Casapalca;Coya, Mina;Eusta, Mina;Eloida Ii, Mina;Casapalca Centromin;Yauliyacu;Alpayana (Americana);Los Quenuales;Yauliyacu;Americana",-11.66692565,-76.23136844,Mine,Peru,zinc,lead,silver;copper;tungsten;arsenic
ICMM00694,Very Low,"Colqui Camino, Minera",,-11.6671,-76.4997,Mine,Peru,silver,,
ICMM00695,High,Carahuacra Mine,Carahuacra Mine;Yauli;Carahuacra;Victoria Concentrator,-11.68096297,-76.08856795,Mine,Peru,zinc,lead,silver;copper
ICMM00698,Moderate,Carahuacra,Carahuacra;San Cristobal Mine 5;Carahuacra;San cristobal;Yauli,-11.72738019,-76.06763315,Mine,Peru,copper,cobalt,gold;lead;nickel;silver;zinc
ICMM00705,Very Low,Pacococha,"Pacococha;Peru, Mina;Viso Aruri District Lead Zinc Mine",-11.84233333,-76.24413333,Mine,Peru,lead,silver,gold;copper;cadmium
ICMM00706,Very Low,"Sarita, Mina",,-11.834,-76.3275,Mine,Peru,silver,,
ICMM00707,Very Low,"Siberia, Mina",,-11.877,-76.2505,Mine,Peru,silver,,
ICMM00708,Very Low,Azulcocha,,-11.9146,-75.3122,Mine,Peru,zinc,,
ICMM00710,Very Low,Cochas Region Lead Zinc Mine 48,,-11.9479,-75.883,Mine,Peru,zinc,,
ICMM00711,Very Low,Bar,,-11.9979,-76.583,Mine,Peru,barium,,
ICMM00713,Moderate,Gran Bretana Mine,Gran Bretana Mine;Azulcocha;Azulcocha,-12.06240512,-75.6661436,Mine,Peru,copper,gold,lead;manganese;silver;zinc
ICMM00715,Very Low,Unidad San Juan/Millotingo,,-12.1312,-76.2997,Mine,Peru,silver,,
ICMM00720,High,Yauricocha,Yauricocha;Yauricocha;Yauricocha;Yauricocha;Yauricocha,-12.31351398,-75.72066821,Mine,Peru,silver,copper,lead;zinc;gold;arsenic;iron ore
ICMM00722,Very Low,"Lourdes De Cerro De Pasco Dos, Mina",,-12.3679,-74.7997,Mine,Peru,silver,,
ICMM00725,Very Low,"Satanas, Mina",,-12.3979,-75.0664,Mine,Peru,zinc,,
ICMM00726,Very Low,"Ricardo, Mina",,-12.4515,-74.1755,Mine,Peru,silver,,
ICMM00732,Very Low,"Ventanilla, Mina",,-12.5784,-75.1164,Mine,Peru,silver,,
ICMM00733,Very Low,Rio Apurimac Mina,,-12.5859,-73.9996,Mine,Peru,silver,,
